년월,시구,시군구,계약구분,고객호수(호),사용량(kWh),비율
202107-202112,경기도,가평군,일반용,11019,177336327,53.21
202107-202112,경기도,가평군,합계,11865,333277942,
202107-202112,경기도,고양시,일반용,44160,1089684955,43.78
202107-202112,경기도,고양시,합계,41034,2489238808,
202107-202112,경기도,과천시,일반용,2741,106384967,51.35
202107-202112,경기도,과천시,합계,2740,207161995,
202107-202112,경기도,광명시,일반용,10776,208676208,37.07
202107-202112,경기도,광명시,합계,10349,562937112,
202107-202112,경기도,광주시,일반용,29077,390933901,28.69
202107-202112,경기도,광주시,합계,33093,1362476370,
202107-202112,경기도,구리시,일반용,10593,192027559,45.68
202107-202112,경기도,구리시,합계,8826,420372558,
202107-202112,경기도,군포시,일반용,9512,222855648,28.88
202107-202112,경기도,군포시,합계,10861,771664788,
202107-202112,경기도,김포시,일반용,26014,539716515,25.12
202107-202112,경기도,김포시,합계,22570,2148955557,
202107-202112,경기도,남양주시,일반용,40991,579544642,33.44
202107-202112,경기도,남양주시,합계,33592,1733193068,
202107-202112,경기도,동두천시,일반용,6589,117743758,35.3
202107-202112,경기도,동두천시,합계,7297,333579495,
202107-202112,경기도,부천시,일반용,37179,699558828,31.79
202107-202112,경기도,부천시,합계,48263,2200612342,
202107-202112,경기도,성남시,일반용,34539,1464617786,51.47
202107-202112,경기도,성남시,합계,44567,2845529822,
202107-202112,경기도,수원시,일반용,55182,1592581056,50.96
202107-202112,경기도,수원시,합계,62253,3125380163,
202107-202112,경기도,시흥시,일반용,26350,482222349,19.91
202107-202112,경기도,시흥시,합계,28254,2421750490,
202107-202112,경기도,안산시,일반용,30758,601763550,14.5
202107-202112,경기도,안산시,합계,48968,4148986566,
202107-202112,경기도,안성시,일반용,16646,325288234,18.9
202107-202112,경기도,안성시,합계,23261,1721415103,
202107-202112,경기도,안양시,일반용,23388,773321904,51.55
202107-202112,경기도,안양시,합계,21912,1500167803,
202107-202112,경기도,양주시,일반용,17001,276718050,24.23
202107-202112,경기도,양주시,합계,16021,1142055478,
202107-202112,경기도,양평군,일반용,13789,146836418,32.3
202107-202112,경기도,양평군,합계,21149,454585737,
202107-202112,경기도,여주시,일반용,11024,187066479,26.61
202107-202112,경기도,여주시,합계,16700,703098947,
202107-202112,경기도,연천군,일반용,5239,81945650,28.18
202107-202112,경기도,연천군,합계,8057,290789764,
202107-202112,경기도,오산시,일반용,12261,229240974,30.65
202107-202112,경기도,오산시,합계,12452,747909978,
202107-202112,경기도,용인시,일반용,44967,1423070680,26.01
202107-202112,경기도,용인시,합계,43805,5471847590,
202107-202112,경기도,의왕시,일반용,6323,196898484,46.86
202107-202112,경기도,의왕시,합계,5661,420218407,
202107-202112,경기도,의정부시,일반용,22457,373521598,41.04
202107-202112,경기도,의정부시,합계,20283,910071901,
202107-202112,경기도,이천시,일반용,18422,415635376,9.78
202107-202112,경기도,이천시,합계,23770,4247954249,
202107-202112,경기도,파주시,일반용,30402,580282111,12.26
202107-202112,경기도,파주시,합계,30393,4735032300,
202107-202112,경기도,평택시,일반용,41853,824701718,10.4
202107-202112,경기도,평택시,합계,42662,7926844655,
202107-202112,경기도,포천시,일반용,19239,264183846,19.76
202107-202112,경기도,포천시,합계,21383,1337051727,
202107-202112,경기도,하남시,일반용,15523,345654518,36.17
202107-202112,경기도,하남시,합계,9668,955686215,
202107-202112,경기도,화성시,일반용,48869,1305209242,12.49
202107-202112,경기도,화성시,합계,47738,10447983540,
